centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	latitude	longitude	prop_urban
cuan	2013	1	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	1	1	2013	unknown	undet	r	52.648936	-2.890002	18.59446546
cuan	2013	9	owl	Tytonidae	Tyto alba	barn owl	M	ad	4	1	2013	unknown	undet	d	52.370388	-2.711236	77.57660167
cuan	2017	12	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	10	1	2017	human	veh	r	52.599038	-2.517811	1.191614095
cuan	2017	13	owl	Strigidae	Strix aluco	tawny owl	M	ad	11	1	2017	human	build	r	52.388596	-2.249686	65.86826347
secret_world	NA	13	owl	Strigidae	Strix aluco	tawny owl	NA	ad	4	1	2011	unknown	trauma	d	NA	NA	NA
cuan	2017	20	owl	Strigidae	Strix aluco	tawny owl	NA	NA	14	1	2017	natural	metab	r	52.599038	-2.517811	1.191614095
cuan	2014	22	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	19	1	2014	human	elec	r	52.515917	-1.966497	42.67807402
cuan	2017	22	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	15	1	2017	unknown	trauma	r	52.701747	-2.516522	50.409353
cuan	2013	24	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	NA	14	1	2013	human	build	r	52.581848	-2.057249	92.02307539
cuan	2017	24	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	15	1	2017	unknown	trauma	d	52.370854	-2.712672	16.44219442
cuan	2015	27	owl	Strigidae	Strix aluco	tawny owl	M	ad	13	1	2015	human	veh	r	52.601169	-2.55889	18.758703
cuan	2017	28	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	18	1	2017	natural	metab	r	52.549483	-2.414054	3.779590213
cuan	2016	29	raptor	Falconidae	Falco tinnunculus	common kestrel	F	juv	21	1	2016	human	build	d	52.694929	-2.40698	17.21458458
cuan	2013	30	owl	Tytonidae	Tyto alba	barn owl	F	ad	18	1	2013	unknown	trauma	d	52.535316	-2.423861	70.25681863
cuan	2016	30	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	22	1	2016	human	veh	d	52.764256	-2.681122	3.577230593
cuan	2013	31	owl	Strigidae	Strix aluco	tawny owl	NA	ad	22	1	2013	human	veh	r	52.358451	-2.876964	8.509366281
cuan	2016	31	owl	Tytonidae	Tyto alba	barn owl	F	ad	23	1	2016	unknown	trauma	r	52.707279	-2.755272	63.3074277
cuan	2013	32	owl	Tytonidae	Tyto alba	barn owl	M	ad	22	1	2013	unknown	undet	d	NA	NA	NA
cuan	2013	34	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	25	1	2013	human	veh	d	52.648936	-2.890002	18.59446546
cuan	2013	35	owl	Tytonidae	Tyto alba	barn owl	M	ad	27	1	2013	unknown	trauma	d	52.446985	-3.539366	33.25363618
cuan	2015	35	owl	Strigidae	Strix aluco	tawny owl	F	juv	18	1	2015	human	veh	r	52.522503	-2.575361	0.179175791
cuan	2013	36	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	25	1	2013	human	veh	d	52.307662	-2.596409	25.90013925
cuan	2015	37	raptor	Falconidae	Falco peregrinus	peregrine falcon	NA	juv	18	1	2015	natural	pred	r	52.378434	-2.483468	22.81959379
cuan	2017	38	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	25	1	2017	unknown	trauma	r	52.909134	-2.484237	59.20031828
cuan	2016	40	owl	Tytonidae	Tyto alba	barn owl	M	ad	25	1	2016	unknown	trauma	d	52.768132	-2.374834	18.49456885
cuan	2013	41	owl	Strigidae	Strix aluco	tawny owl	NA	NA	28	1	2013	human	build	r	52.572347	-2.317872	1.531728665
cuan	2017	42	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	27	1	2017	unknown	trauma	d	52.379293	-2.482957	23.07539288
cuan	2017	43	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	28	1	2017	unknown	trauma	d	52.686351	-2.490407	38.62549801
cuan	2013	44	owl	Strigidae	Strix aluco	tawny owl	NA	NA	30	1	2013	human	veh	r	53.35003	-2.576546	51.26721213
cuan	2017	44	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	28	1	2017	unknown	undet	d	52.676717	-2.370835	25.14410654
cuan	2015	46	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	26	1	2015	human	veh	d	53.176264	-2.828027	18.40211438
cuan	2017	46	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	28	1	2017	human	veh	r	52.725765	-2.434172	63.61464968
cuan	2013	47	owl	Strigidae	Strix aluco	tawny owl	NA	NA	1	2	2013	human	veh	r	52.686263	-2.734543	33.14103839
cuan	2016	47	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	31	1	2016	human	veh	d	52.272228	-3.005069	22.99262801
cuan	2015	48	owl	Strigidae	Strix aluco	tawny owl	NA	NA	26	1	2015	human	veh	d	52.954958	-3.698061	0.02547933
cuan	2017	48	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	29	1	2017	unknown	undet	d	52.666695	-2.372651	47.61431412
cuan	2013	49	owl	Tytonidae	Tyto alba	barn owl	M	ad	1	2	2013	unknown	undet	r	52.726476	-2.455171	49.39206697
cuan	2013	50	owl	Tytonidae	Tyto alba	barn owl	F	ad	2	2	2013	unknown	trauma	d	52.670441	-2.837598	4.60342766
cuan	2013	51	owl	Strigidae	Strix aluco	tawny owl	M	ad	2	2	2013	unknown	trauma	d	52.553166	-2.113728	85.8936043
cuan	2016	51	owl	Strigidae	Strix aluco	tawny owl	NA	ad	7	2	2016	natural	infect	d	52.536294	-2.803933	44.38907714
cuan	2015	52	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	29	1	2015	human	veh	d	NA	NA	NA
cuan	2016	52	owl	Tytonidae	Tyto alba	barn owl	NA	ad	8	2	2016	unknown	undet	d	52.521413	-2.717919	4.160860044
cuan	2017	52	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	31	1	2017	human	build	d	52.701747	-2.516522	50.409353
cuan	2015	53	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	29	1	2015	human	veh	d	52.680244	-2.4428	80.02787734
secret_world	NA	53	owl	Strigidae	Athene noctua	little owl	NA	ad	20	1	2011	human	attack	r	NA	NA	NA
cuan	2013	54	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	5	2	2013	human	pers	d	52.44608	-2.068332	85.02386635
cuan	2016	54	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	9	2	2016	human	veh	d	52.690255	-2.448703	70.38889066
cuan	2015	56	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	31	1	2015	human	veh	d	52.653622	-2.592514	1.852589641
cuan	2015	58	owl	Tytonidae	Tyto alba	barn owl	NA	ad	2	2	2015	human	veh	r	52.49266	-2.999198	22.13831479
secret_world	NA	58	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	21	1	2011	unknown	trauma	d	51.303671	-2.847161	4.082039028
cuan	2016	59	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	11	2	2016	human	fen	r	52.794136	-2.991932	4.141776185
cuan	2015	60	owl	Strigidae	Strix aluco	tawny owl	NA	ad	5	2	2015	human	veh	d	52.553647	-2.79786	4.286283892
cuan	2014	61	raptor	Falconidae	Falco peregrinus	peregrine falcon	M	ad	25	2	2014	human	veh	r	52.717588	-2.526953	45.99164512
cuan	2015	61	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	5	2	2015	human	veh	d	52.707299	-2.75533	63.27831241
cuan	2016	64	owl	Strigidae	Strix aluco	tawny owl	NA	ad	17	2	2016	human	veh	d	NA	NA	NA
cuan	2015	65	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	6	2	2015	unknown	undet	d	52.768528	-2.375713	77.86183556
cuan	2015	66	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	7	2	2015	unknown	undet	r	52.677589	-2.467569	59.00474689
cuan	2013	70	owl	Tytonidae	Tyto alba	barn owl	M	ad	13	2	2013	unknown	trauma	r	52.857461	-2.722642	51.22534369
cuan	2017	70	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	18	2	2017	human	veh	d	52.697878	-3.055061	1.54625221
cuan	2014	71	raptor	Accipitridae	Buteo buteo	buzzard	M	NA	4	3	2014	human	pers	r	52.707294	-2.755221	63.29396033
cuan	2015	73	owl	Strigidae	Strix aluco	tawny owl	NA	ad	9	2	2015	human	veh	r	52.793269	-2.558883	2.53257303
cuan	2013	77	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	18	2	2013	natural	infect	d	52.707303	-2.755327	63.27629608
cuan	2015	77	owl	Strigidae	Strix aluco	tawny owl	NA	ad	12	2	2015	human	veh	r	52.439819	-2.835621	26.27809827
cuan	2017	77	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	20	2	2017	natural	infect	d	52.301427	-2.747069	8.195742988
cuan	2015	78	owl	Tytonidae	Tyto alba	barn owl	NA	ad	13	2	2015	unknown	trauma	d	52.778602	-2.568652	3.284889508
cuan	2016	79	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	25	2	2016	human	veh	d	52.707279	-2.755272	63.3074277
cuan	2013	81	owl	Strigidae	Strix aluco	tawny owl	NA	NA	19	2	2013	unknown	undet	d	52.611527	-2.483412	34.88047809
cuan	2015	81	owl	Tytonidae	Tyto alba	barn owl	NA	ad	14	2	2015	unknown	undet	d	52.544603	-3.236385	7.975338107
cuan	2013	87	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	23	2	2013	natural	metab	r	52.534909	-2.410252	49.16367981
cuan	2013	90	owl	Strigidae	Strix aluco	tawny owl	M	ad	27	2	2013	human	build	d	52.307627	-2.596257	25.71144279
cuan	2017	90	owl	Strigidae	Strix aluco	tawny owl	M	juv	27	2	2017	unknown	trauma	r	52.580705	-2.809769	0.119379228
cuan	2013	91	owl	Strigidae	Strix aluco	tawny owl	M	ad	28	2	2013	human	veh	d	52.666194	-2.671865	4.57893689
cuan	2013	92	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	1	3	2013	human	veh	r	52.539502	-2.623633	2.308917197
cuan	2016	96	owl	Strigidae	Strix aluco	tawny owl	NA	ad	11	3	2016	human	build	d	52.597134	-2.559293	21.87001595
cuan	2017	97	owl	Strigidae	Strix aluco	tawny owl	F	ad	3	3	2017	human	build	r	52.45728	-2.352956	16.8559474
cuan	2013	98	owl	Strigidae	Strix aluco	tawny owl	M	ad	4	3	2013	human	veh	d	52.736789	-2.729693	93.48605578
cuan	2013	99	owl	Strigidae	Strix aluco	tawny owl	M	ad	6	3	2013	human	veh	r	NA	NA	NA
secret_world	NA	99	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	5	2	2011	unknown	trauma	d	NA	NA	NA
cuan	2015	110	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	3	3	2015	unknown	trauma	d	52.537513	-2.306295	10.75697211
cuan	2016	113	raptor	Falconidae	Falco peregrinus	peregrine falcon	NA	ad	21	3	2016	human	fen	r	52.543116	-2.406802	11.34102666
cuan	2017	115	raptor	Falconidae	Falco peregrinus	peregrine falcon	NA	ad	8	3	2017	human	build	r	NA	NA	NA
cuan	2013	117	owl	Tytonidae	Tyto alba	barn owl	NA	NA	19	3	2013	human	pers	d	52.627516	-2.208457	35.16746411
cuan	2017	117	owl	Tytonidae	Tyto alba	barn owl	F	NA	10	3	2017	unknown	undet	d	52.676256	-2.75942	35.960199
cuan	2015	128	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	9	3	2015	unknown	trauma	r	52.707688	-2.91979	2.505966587
cuan	2013	130	owl	Tytonidae	Tyto alba	barn owl	M	ad	25	3	2013	human	veh	d	52.707302	-2.755321	63.28065256
cuan	2014	130	raptor	Accipitridae	Buteo buteo	buzzard	M	NA	29	3	2014	human	veh	d	52.679524	-2.406475	29.89444334
cuan	2013	132	owl	Strigidae	Strix aluco	tawny owl	M	ad	26	3	2013	human	build	r	52.71735	-2.463646	75.27866242
cuan	2013	134	owl	Tytonidae	Tyto alba	barn owl	M	ad	26	3	2013	human	veh	r	52.758952	-2.549081	6.711810396
cuan	2017	134	owl	Tytonidae	Tyto alba	barn owl	NA	NA	17	3	2017	unknown	trauma	d	52.426038	-2.977604	1.552238806
cuan	2013	138	raptor	Falconidae	Falco tinnunculus	common kestrel	M	ad	27	3	2013	natural	metab	r	NA	NA	NA
cuan	2014	138	owl	Strigidae	Strix aluco	tawny owl	NA	NA	2	4	2014	human	veh	d	52.540304	-2.622958	2.311217374
cuan	2015	138	owl	Tytonidae	Tyto alba	barn owl	NA	ad	13	3	2015	natural	infect	d	52.858526	-3.032654	50.24855836
cuan	2015	139	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	14	3	2015	unknown	trauma	d	52.743189	-2.616075	2.108613487
cuan	2013	141	owl	Tytonidae	Tyto alba	barn owl	F	ad	27	3	2013	natural	metab	d	52.758109	-3.085291	13.80753138
cuan	2016	141	owl	Strigidae	Strix aluco	tawny owl	M	ad	2	4	2016	human	fen	d	52.576939	-2.116301	90.89953494
cuan	2013	142	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	28	3	2013	natural	infect	r	52.760562	-2.747006	2.532907858
cuan	2013	144	owl	Strigidae	Strix aluco	tawny owl	NA	NA	29	3	2013	natural	infect	d	52.678419	-2.445258	67.38998821
cuan	2015	145	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	17	3	2015	unknown	trauma	d	52.499022	-2.577365	7.377212169
cuan	2013	147	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	29	3	2013	human	veh	r	52.635338	-2.782856	3.30479793
cuan	2015	148	owl	Strigidae	Strix aluco	tawny owl	NA	ad	19	3	2015	unknown	trauma	r	52.716466	-2.494587	50.28878709
cuan	2013	152	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	1	4	2013	human	veh	d	52.406177	-2.804336	1.891676623
secret_world	NA	153	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	24	2	2011	human	build	d	NA	NA	NA
cuan	2016	156	owl	Strigidae	Asio flammeus	short eared owl	NA	ad	8	4	2016	unknown	undet	d	52.620703	-2.396675	0.039793076
secret_world	NA	157	owl	Strigidae	Strix aluco	tawny owl	NA	ad	25	2	2011	unknown	undet	r	NA	NA	NA
cuan	2014	160	owl	Strigidae	Strix aluco	tawny owl	NA	NA	10	4	2014	natural	infect	d	52.367786	-2.713914	16.42932237
cuan	2013	166	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	8	4	2013	human	build	d	52.678419	-2.445258	67.38998821
cuan	2015	166	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	30	3	2015	human	build	r	52.677589	-2.467569	59.00474689
cuan	2013	170	owl	Strigidae	Strix aluco	tawny owl	NA	NA	10	4	2013	human	attack	r	52.450373	-2.155643	63.76613032
secret_world	NA	172	owl	Strigidae	Strix aluco	tawny owl	NA	ad	3	3	2011	unknown	trauma	d	NA	NA	NA
cuan	2016	177	raptor	Accipitridae	Buteo buteo	buzzard	M	juv	10	4	2016	unknown	trauma	d	52.491869	-2.740156	0
cuan	2014	181	owl	Strigidae	Strix aluco	tawny owl	NA	NA	13	4	2014	human	fen	d	52.709717	-2.72287	69.77299881
cuan	2016	187	owl	Strigidae	Strix aluco	tawny owl	M	ad	15	4	2016	human	veh	r	52.226015	-2.742401	68.04226475
cuan	2016	188	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	15	4	2016	human	veh	d	52.5384	-2.551078	2.550817059
cuan	2017	190	owl	Strigidae	Strix aluco	tawny owl	M	juv	6	4	2017	human	veh	r	52.418703	-2.418494	1.926722421
cuan	2013	196	owl	Strigidae	Strix aluco	tawny owl	NA	NA	19	4	2013	unknown	undet	r	52.148885	-3.406428	30.23904382
cuan	2015	209	raptor	Falconidae	Falco subbuteo	hobby	NA	ad	12	4	2015	unknown	undet	d	52.903537	-2.483508	19.39438324
cuan	2014	210	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	20	4	2014	human	elec	d	52.591523	-2.829472	0.445803082
secret_world	NA	213	owl	Strigidae	Strix aluco	tawny owl	NA	ad	14	3	2011	human	pers	r	NA	NA	NA
cuan	2013	214	owl	Strigidae	Strix aluco	tawny owl	NA	NA	24	4	2013	unknown	trauma	r	52.566778	-2.133333	85.87649402
cuan	2017	218	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	11	4	2017	unknown	trauma	d	52.46469	-2.83769	7.433240335
cuan	2015	219	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	13	4	2015	unknown	trauma	d	NA	NA	NA
cuan	2013	222	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	26	4	2013	unknown	undet	r	52.504304	-2.376667	1.610658183
cuan	2015	223	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	15	4	2015	unknown	trauma	r	52.707299	-2.75533	63.27831241
cuan	2015	226	owl	Strigidae	Strix aluco	tawny owl	NA	NA	16	4	2015	natural	infect	d	52.740333	-2.733199	78.98925587
secret_world	NA	232	owl	Tytonidae	Tyto alba	barn owl	NA	ad	17	3	2011	unknown	undet	r	NA	NA	NA
cuan	2013	234	owl	Strigidae	Strix aluco	tawny owl	NA	ad	30	4	2013	natural	metab	r	52.548078	-2.65471	1.233585356
cuan	2013	255	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	3	5	2013	unknown	trauma	d	52.661191	-3.145817	13.07075081
secret_world	NA	263	owl	Strigidae	Strix aluco	tawny owl	NA	ad	22	3	2011	human	build	r	NA	NA	NA
cuan	2014	265	owl	Strigidae	Strix aluco	tawny owl	NA	juv	30	4	2014	unknown	undet	r	52.475963	-2.372419	4.463929853
cuan	2014	266	owl	Strigidae	Strix aluco	tawny owl	NA	juv	30	4	2014	unknown	undet	r	52.475963	-2.372419	4.463929853
secret_world	NA	279	owl	Strigidae	Strix aluco	tawny owl	NA	ad	23	3	2011	human	build	r	NA	NA	NA
cuan	2013	286	owl	Strigidae	Strix aluco	tawny owl	NA	ad	6	5	2013	human	veh	r	52.604986	-2.477556	18.18905473
cuan	2015	287	owl	Strigidae	Strix aluco	tawny owl	NA	juv	26	4	2015	unknown	undet	r	52.809009	-2.706839	4.256165473
cuan	2014	302	owl	Strigidae	Strix aluco	tawny owl	NA	juv	6	5	2014	natural	orph	r	52.628378	-2.481319	32.92804465
cuan	2013	304	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	9	5	2013	human	elec	d	52.440088	-2.83327	26.16915423
cuan	2014	306	owl	Strigidae	Strix aluco	tawny owl	NA	juv	6	5	2014	unknown	undet	r	52.534229	-2.424278	18.90548848
cuan	2015	306	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	28	4	2015	human	veh	r	52.581774	-2.775336	1.653708896
cuan	2016	314	owl	Strigidae	Strix aluco	tawny owl	M	ad	30	4	2016	human	veh	r	52.537511	-2.423193	67.03121893
cuan	2014	330	owl	Strigidae	Strix aluco	tawny owl	M	NA	11	5	2014	human	veh	r	52.388596	-2.249684	65.87253559
cuan	2014	331	owl	Strigidae	Strix aluco	tawny owl	NA	NA	11	5	2014	unknown	undet	r	52.633996	-2.638869	2.528872959
cuan	2013	335	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	NA	13	5	2013	human	build	d	NA	NA	NA
cuan	2017	336	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	25	4	2017	human	veh	d	52.599038	-2.517811	1.191614095
cuan	2014	344	raptor	Falconidae	Falco subbuteo	hobby	F	ad	13	5	2014	unknown	trauma	d	52.359739	-2.949576	9.250049731
cuan	2015	347	owl	Strigidae	Strix aluco	tawny owl	NA	ad	4	5	2015	natural	infect	d	52.511959	-2.630463	1.294305058
cuan	2015	349	owl	Strigidae	Strix aluco	tawny owl	NA	NA	5	5	2015	natural	metab	d	NA	NA	NA
cuan	2017	350	owl	Strigidae	Strix aluco	tawny owl	NA	juv	26	4	2017	unknown	trauma	d	52.626246	-2.191391	73.74501992
secret_world	NA	352	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	5	4	2011	human	veh	r	NA	NA	NA
cuan	2016	356	owl	Strigidae	Strix aluco	tawny owl	NA	juv	6	5	2016	human	veh	r	52.667922	-2.374563	48.0780721
cuan	2015	367	owl	Strigidae	Strix aluco	tawny owl	NA	NA	7	5	2015	natural	infect	d	52.431731	-2.590861	0
cuan	2017	367	owl	Strigidae	Strix aluco	tawny owl	NA	NA	28	4	2017	unknown	undet	d	52.451497	-2.3851	23.19936331
secret_world	NA	368	owl	Strigidae	Strix aluco	tawny owl	NA	ad	7	4	2011	human	veh	d	NA	NA	NA
cuan	2017	373	owl	Strigidae	Strix aluco	tawny owl	M	ad	28	4	2017	unknown	undet	r	52.522246	-2.403322	18.82212495
cuan	2013	374	raptor	Accipitridae	Accipiter nisus	sparrowhawk	M	ad	16	5	2013	human	fen	d	52.745051	-2.627532	4.101951414
cuan	2014	376	owl	Strigidae	Strix aluco	tawny owl	NA	NA	18	5	2014	unknown	undet	r	52.527814	-2.773756	2.327431868
cuan	2013	378	owl	Strigidae	Strix aluco	tawny owl	NA	ad	16	5	2013	unknown	undet	d	52.615641	-2.494022	22.21559268
cuan	2014	378	owl	Strigidae	Strix aluco	tawny owl	NA	juv	18	5	2014	natural	metab	r	52.677761	-2.46743	59.17964396
cuan	2017	382	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	29	4	2017	human	pers	d	52.392643	-2.777542	2.539882285
secret_world	NA	387	owl	Strigidae	Strix aluco	tawny owl	NA	ad	9	4	2011	human	veh	r	51.318173	-2.730081	1.373134328
cuan	2015	389	owl	Strigidae	Strix aluco	tawny owl	NA	juv	8	5	2015	natural	orph	r	NA	NA	NA
cuan	2013	393	owl	Strigidae	Strix aluco	tawny owl	NA	ad	18	5	2013	human	pers	d	52.612703	-2.412369	2.551834131
cuan	2017	401	raptor	Falconidae	Falco tinnunculus	common kestrel	M	ad	2	5	2017	human	veh	d	52.599038	-2.517811	1.191614095
cuan	2016	403	owl	Strigidae	Strix aluco	tawny owl	NA	ad	12	5	2016	natural	infect	d	52.904984	-2.72294	0.39800995
cuan	2017	403	owl	Strigidae	Strix aluco	tawny owl	NA	juv	2	5	2017	natural	orph	r	52.346679	-2.764816	0.32808817
cuan	2017	406	owl	Strigidae	Strix aluco	tawny owl	NA	juv	2	5	2017	natural	pred	r	52.483836	-2.913664	0.537206526
cuan	2016	412	owl	Strigidae	Strix aluco	tawny owl	NA	juv	13	5	2016	natural	orph	r	52.367753	-2.713911	61.29160853
cuan	2017	423	owl	Strigidae	Strix aluco	tawny owl	NA	ad	4	5	2017	human	veh	r	52.516389	-3.428744	9.005964215
cuan	2017	424	owl	Strigidae	Strix aluco	tawny owl	NA	NA	4	5	2017	unknown	undet	d	NA	NA	NA
cuan	2016	429	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	14	5	2016	human	veh	d	52.524102	-2.645557	0.815271426
cuan	2017	431	owl	Strigidae	Strix aluco	tawny owl	NA	ad	6	5	2017	human	build	d	52.636694	-2.398818	4.775169121
secret_world	NA	433	owl	Tytonidae	Tyto alba	barn owl	NA	ad	14	4	2011	human	pers	r	NA	NA	NA
cuan	2014	447	raptor	Falconidae	Falco peregrinus	peregrine falcon	F	juv	27	5	2014	natural	orph	d	52.857394	-2.642685	5.092500497
cuan	2014	448	raptor	Falconidae	Falco peregrinus	peregrine falcon	M	juv	27	5	2014	natural	orph	d	52.857394	-2.642685	5.092500497
cuan	2015	448	owl	Strigidae	Strix aluco	tawny owl	NA	juv	14	5	2015	natural	orph	r	NA	NA	NA
secret_world	NA	453	owl	Strigidae	Strix aluco	tawny owl	NA	ad	16	4	2011	natural	pred	r	NA	NA	NA
cuan	2016	454	owl	Strigidae	Strix aluco	tawny owl	NA	juv	17	5	2016	unknown	undet	r	NA	NA	NA
cuan	2016	472	owl	Strigidae	Strix aluco	tawny owl	NA	juv	19	5	2016	natural	orph	r	52.506004	-2.236237	0.59749054
cuan	2017	473	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	10	5	2017	human	veh	d	52.595594	-2.558816	21.95704057
cuan	2015	479	owl	Strigidae	Strix aluco	tawny owl	NA	NA	17	5	2015	human	attack	d	52.73366	-2.561131	4.624277457
cuan	2015	480	owl	Strigidae	Strix aluco	tawny owl	NA	NA	17	5	2015	natural	infect	d	52.636068	-2.994416	5.692675159
cuan	2015	483	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	ad	18	5	2015	unknown	trauma	d	52.768552	-2.375587	18.72192667
cuan	2017	484	owl	Strigidae	Strix aluco	tawny owl	NA	juv	11	5	2017	natural	orph	r	NA	NA	NA
cuan	2013	495	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	4	6	2013	unknown	trauma	d	52.906718	-2.900338	35.30932962
cuan	2015	507	owl	Strigidae	Strix aluco	tawny owl	NA	juv	20	5	2015	natural	orph	r	52.418273	-2.385085	1.509121589
secret_world	NA	520	owl	Strigidae	Strix aluco	tawny owl	NA	juv	22	4	2011	natural	orph	r	50.903845	-3.029064	0.677695834
cuan	2016	522	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	23	5	2016	unknown	trauma	r	52.885848	-2.541269	9.419713831
cuan	2016	531	owl	Strigidae	Strix aluco	tawny owl	NA	juv	24	5	2016	unknown	undet	r	52.65619	-2.939814	3.485519483
cuan	2014	538	raptor	Accipitridae	Accipiter gentilis	goshawk	NA	juv	4	6	2014	natural	orph	r	52.687858	-2.465143	75.23866348
cuan	2017	546	owl	Strigidae	Strix aluco	tawny owl	NA	juv	16	5	2017	natural	orph	r	52.653371	-2.489113	26.99203187
cuan	2017	547	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	16	5	2017	human	veh	r	52.638605	-2.269097	22.52144424
secret_world	NA	558	owl	Strigidae	Strix aluco	tawny owl	NA	ad	26	4	2011	human	veh	d	NA	NA	NA
secret_world	NA	566	owl	Strigidae	Strix aluco	tawny owl	NA	juv	26	4	2011	natural	orph	r	51.172955	-2.78118	9.792993631
secret_world	NA	567	owl	Strigidae	Strix aluco	tawny owl	NA	juv	26	4	2011	natural	orph	r	51.172955	-2.78118	9.792993631
secret_world	NA	568	owl	Strigidae	Strix aluco	tawny owl	NA	juv	26	4	2011	natural	orph	r	51.172955	-2.78118	9.792993631
cuan	2013	584	owl	Strigidae	Athene noctua	little owl	NA	NA	15	6	2013	unknown	undet	r	52.629125	-2.734536	3.527301714
cuan	2013	589	owl	Strigidae	Strix aluco	tawny owl	NA	ad	15	6	2013	human	veh	r	52.5321	-2.437111	38.85464307
cuan	2013	592	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	14	6	2013	natural	pred	d	52.382389	-3.015213	1.99044586
cuan	2013	596	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	16	6	2013	human	veh	d	52.380987	-2.285914	29.84866587
cuan	2015	597	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	28	5	2015	unknown	undet	r	52.611903	-2.349689	3.243135694
cuan	2016	597	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	30	5	2016	unknown	trauma	d	52.721096	-2.701293	6.187823319
cuan	2014	605	owl	Strigidae	Strix aluco	tawny owl	NA	NA	10	6	2014	human	fen	r	52.770916	-2.878331	1.693564455
cuan	2013	613	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	18	6	2013	unknown	trauma	d	52.635433	-2.282139	34.18905473
cuan	2016	614	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	31	5	2016	unknown	undet	r	52.849215	-2.645446	4.243027888
